date,ticker,price,rolling_sharpe,rolling_cagr,sharpe_delta,cagr_delta,decreasing,vix,vix_bucket,vix_regime,trend_state,drawdown,drawdown_state,realized_vol,vol_state,regime_combo,rs_bin,policy_action,fwd_5d,fwd_10d,action
2010-12-09 00:00:00+08:00,ME8U.SI,0.41146329045295715,-1.8446358134887129,-0.2673910718807597,-0.966249347554725,-0.12333063798362576,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2010-12-16 00:00:00+08:00,ME8U.SI,0.41146329045295715,-2.2887482525759073,-0.2673910718807597,-1.8051656757043477,-0.19222995249738495,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2010-12-21 00:00:00+08:00,ME8U.SI,0.4231085181236267,-0.3062099741573612,-0.0738403244854734,-0.3969367206263227,-0.0738403244854734,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2010-12-22 00:00:00+08:00,ME8U.SI,0.4192267954349518,-1.5505586681324928,-0.26323813793517925,-1.2443486939751316,-0.18939781344970585,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2010-12-23 00:00:00+08:00,ME8U.SI,0.41534528136253357,-1.9530573212404556,-0.3186139842069512,-0.40249865310796284,-0.055375846271771945,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2010-12-29 00:00:00+08:00,ME8U.SI,0.41534528136253357,-1.138913245526806,-0.20726328919812553,-0.40508178482613144,-0.06442525266718624,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2011-01-04 00:00:00+08:00,ME8U.SI,0.4192267954349518,-0.696218877358438,-0.1428380365309393,-0.39195158571264543,-0.0689977120454659,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2011-01-14 00:00:00+08:00,ME8U.SI,0.4192267954349518,0.5097995939047718,0.08126941995914194,-0.4095569795162711,-0.09048444592810045,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2011-01-19 00:00:00+08:00,ME8U.SI,0.4231085181236267,0.9375589007540134,0.16830678192976767,-0.4204151429335864,-0.09588703275956556,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2011-01-21 00:00:00+08:00,ME8U.SI,0.4231085181236267,1.3594140821844052,0.26419381468933323,-0.43796816994367704,-0.10079091538651874,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
