date,ticker,price,rolling_sharpe,rolling_cagr,sharpe_delta,cagr_delta,decreasing,vix,vix_bucket,vix_regime,trend_state,drawdown,drawdown_state,realized_vol,vol_state,regime_combo,rs_bin,policy_action,fwd_5d,fwd_10d,action
2007-12-21 00:00:00+08:00,M44U.SI,0.35461440682411194,-1.3552509959932113,-0.4071641105394087,-0.6262743260156405,-0.15378143528629717,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2007-12-28 00:00:00+08:00,M44U.SI,0.3481077551841736,-1.1325433902268591,-0.36763872145791177,-0.8587533750202939,-0.22718508596755915,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2008-01-02 00:00:00+08:00,M44U.SI,0.35461440682411194,-0.9791416453114739,-0.31391095196801266,-0.92643400015589,-0.24006610759136437,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2008-01-07 00:00:00+08:00,M44U.SI,0.34160101413726807,-0.9766455180865476,-0.32346376063961335,-0.6656483400455535,-0.18182582151258808,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2008-01-09 00:00:00+08:00,M44U.SI,0.32533422112464905,-2.4819850547142197,-0.5838145982311892,-1.9284326667902678,-0.3713228666164323,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2008-01-11 00:00:00+08:00,M44U.SI,0.3155742883682251,-2.73308334932845,-0.62459506110919,-0.6903652980758945,-0.10945502957697173,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2008-01-14 00:00:00+08:00,M44U.SI,0.3058141767978668,-3.19064562931656,-0.688460951913123,-0.4575622799881103,-0.0638658908039329,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2008-01-15 00:00:00+08:00,M44U.SI,0.2944274842739105,-3.5350696868111884,-0.734978783336002,-0.34442405749462823,-0.04651783142287902,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2008-01-16 00:00:00+08:00,M44U.SI,0.2862941324710846,-4.120571669582247,-0.7905467629809002,-0.585501982771059,-0.055567979644898235,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2008-01-21 00:00:00+08:00,M44U.SI,0.27978751063346863,-5.393624758524131,-0.8634145717989152,-1.9258521996778293,-0.12482465291749079,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2008-01-22 00:00:00+08:00,M44U.SI,0.2586406469345093,-7.488924396732949,-0.9478537437416061,-2.095299638208818,-0.0844391719426909,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2008-01-29 00:00:00+08:00,M44U.SI,0.2936771512031555,-3.138178650443197,-0.8099624045959927,-0.38939583058871285,-0.03647202507440983,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2008-02-01 00:00:00+08:00,M44U.SI,0.29204535484313965,-3.212627839807132,-0.8186520134089267,-0.7830086372157288,-0.08531073627202834,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2008-02-06 00:00:00+08:00,M44U.SI,0.29041406512260437,-3.34804311007183,-0.8396513953625602,-0.6004759941193374,-0.05461419384155586,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2008-03-03 00:00:00+08:00,M44U.SI,0.2969401776790619,0.7598199936010224,0.29576794992578725,-0.9619065785152794,-0.7425556324882192,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2008-03-07 00:00:00+08:00,M44U.SI,0.29857137799263,2.0483072000623457,1.3258239410941464,-0.4258847240494208,-0.581252144189385,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2008-03-10 00:00:00+08:00,M44U.SI,0.2871508300304413,-0.1992854464914195,-0.15098519877770167,-2.2475926465537652,-1.4768091398718481,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
2008-03-11 00:00:00+08:00,M44U.SI,0.28388768434524536,-1.0187848928947005,-0.3872717047494394,-0.819499446403281,-0.23628650597173773,True,,high,low,off,,ok,,low,high|trend_off|dd_ok|vol_low,,de-risk,,,review exposure
