rank_wealth_viable,label,rerisk,hold,cap,derisk,terminal_wealth,max_drawdown,avg_daily_ret,vol_daily_ret,wealth_viable,error,is_valid
15,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol1181_vf000_fineovr2,0.2,0.05,0.15,0.0,1.0237645286047294,-0.0121366491451595,1.6783764242311328e-06,0.0001467855874499,True,,True
16,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol1181_vf000_fineovr2,0.3,0.05,0.05,0.0,1.0237645286047294,-0.0121366491451595,1.6783764242311328e-06,0.0001467855874499,True,,True
17,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol1181_vf000_fineovr2,0.3,0.05,0.1,0.0,1.0237645286047294,-0.0121366491451595,1.6783764242311328e-06,0.0001467855874499,True,,True
18,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol1181_vf000_fineovr2,0.3,0.05,0.15,0.0,1.0237645286047294,-0.0121366491451595,1.6783764242311328e-06,0.0001467855874499,True,,True
19,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol1181_vf000_fineovr2,0.4,0.05,0.05,0.0,1.0237645286047294,-0.0121366491451595,1.6783764242311328e-06,0.0001467855874499,True,,True
20,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol1181_vf000_fineovr2,0.4,0.05,0.1,0.0,1.0237645286047294,-0.0121366491451595,1.6783764242311328e-06,0.0001467855874499,True,,True
21,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol1181_vf000_fineovr2,0.4,0.05,0.15,0.0,1.0237645286047294,-0.0121366491451595,1.6783764242311328e-06,0.0001467855874499,True,,True
22,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol1181_vf000_fineovr2,0.5,0.05,0.05,0.0,1.0237645286047294,-0.0121366491451595,1.6783764242311328e-06,0.0001467855874499,True,,True
23,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol1181_vf000_fineovr2,0.5,0.05,0.1,0.0,1.0237645286047294,-0.0121366491451595,1.6783764242311328e-06,0.0001467855874499,True,,True
24,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol1181_vf000_fineovr2,0.5,0.05,0.15,0.0,1.0237645286047294,-0.0121366491451595,1.6783764242311328e-06,0.0001467855874499,True,,True
25,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineq3,0.2,0.05,0.05,0.0,1.0234178368142894,-0.0091848936058037,1.6515699375047888e-06,0.0001266089314626,True,,True
26,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineq3,0.2,0.05,0.1,0.0,1.0234178368142894,-0.0091848936058037,1.6515699375047888e-06,0.0001266089314626,True,,True
27,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineq3,0.2,0.05,0.15,0.0,1.0234178368142894,-0.0091848936058037,1.6515699375047888e-06,0.0001266089314626,True,,True
28,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineq3,0.3,0.05,0.05,0.0,1.0234178368142894,-0.0091848936058037,1.6515699375047888e-06,0.0001266089314626,True,,True
