horizon,cand_median,base_median,delta_median,cand_p10,base_p10,delta_p10,cand_hit,base_hit,delta_hit
21,1.0,1.0,0.0,1.0,1.0,0.0,0.051624831117115834,0.05162116040955631,3.670707559522146e-06
63,1.0,1.0,0.0,0.9999685709471295,0.9999685607192481,1.0227881430679986e-08,0.08587119321018473,0.08586506917700756,6.124033177165589e-06
