rank,rerisk,hold,cap,derisk,override_scale,min_median_delta_terminal,min_pass_rate_terminal,worst_median_delta_maxdd,avg_median_delta_terminal,avg_median_delta_sharpe,full_delta_terminal,full_candidate_terminal,full_candidate_sharpe,full_candidate_maxdd
1,0.08,0.48,0.03,0.14,1.3,0.059605779859604024,1.0,-0.0007589081947558807,0.06081878608189589,0.156691864078628,3.823716992062309,20.074040705136625,1.0890241820720759,-0.20751598107001612
2,0.08,0.48,0.05,0.14,1.3,0.059605779859604024,1.0,-0.0007589081947558807,0.06081878608189589,0.156691864078628,3.823716992062309,20.074040705136625,1.0890241820720759,-0.20751598107001612
3,0.1,0.48,0.03,0.14,1.3,0.059605779859604024,1.0,-0.0007589081947558807,0.06081878608189589,0.156691864078628,3.823716992062309,20.074040705136625,1.0890241820720759,-0.20751598107001612
4,0.1,0.48,0.05,0.14,1.3,0.059605779859604024,1.0,-0.0007589081947558807,0.06081878608189589,0.156691864078628,3.823716992062309,20.074040705136625,1.0890241820720759,-0.20751598107001612
5,0.12,0.48,0.03,0.14,1.3,0.059605779859604024,1.0,-0.0007589081947558807,0.06081878608189589,0.156691864078628,3.823716992062309,20.074040705136625,1.0890241820720759,-0.20751598107001612
6,0.12,0.48,0.05,0.14,1.3,0.059605779859604024,1.0,-0.0007589081947558807,0.06081878608189589,0.156691864078628,3.823716992062309,20.074040705136625,1.0890241820720759,-0.20751598107001612
7,0.08,0.45,0.03,0.14,1.3,0.05679293391873497,1.0,0.00029321568713486235,0.058098211097482255,0.16564964097042967,3.664788870670158,19.915112583744474,1.0888814991195606,-0.2075159810700149
8,0.08,0.45,0.05,0.14,1.3,0.05679293391873497,1.0,0.00029321568713486235,0.058098211097482255,0.16564964097042967,3.664788870670158,19.915112583744474,1.0888814991195606,-0.2075159810700149
9,0.1,0.45,0.03,0.14,1.3,0.05679293391873497,1.0,0.00029321568713486235,0.058098211097482255,0.16564964097042967,3.664788870670158,19.915112583744474,1.0888814991195606,-0.2075159810700149
10,0.1,0.45,0.05,0.14,1.3,0.05679293391873497,1.0,0.00029321568713486235,0.058098211097482255,0.16564964097042967,3.664788870670158,19.915112583744474,1.0888814991195606,-0.2075159810700149
