rank,rerisk,hold,cap,derisk,override_scale,min_median_delta_terminal,min_pass_rate_terminal,worst_median_delta_maxdd,worst_fold_maxdd,avg_median_delta_terminal,avg_median_delta_sharpe,full_delta_terminal,full_candidate_terminal,full_candidate_sharpe,full_candidate_maxdd
1,0.0,0.44,0.02,0.26,1.1,0.1456347116757255,1.0,-0.01538467711991054,-0.17334318400742266,0.23329219210485735,0.1420556136832223,47.92893221678977,96.1205392224454,1.076996143302993,-0.3517982180042616
2,0.0,0.44,0.03,0.26,1.1,0.1456347116757255,1.0,-0.01538467711991054,-0.17334318400742266,0.23329219210485735,0.1420556136832223,47.92893221678977,96.1205392224454,1.076996143302993,-0.3517982180042616
3,0.01,0.44,0.02,0.26,1.1,0.1456347116757255,1.0,-0.01538467711991054,-0.17334318400742266,0.23329219210485735,0.1420556136832223,47.92893221678977,96.1205392224454,1.076996143302993,-0.3517982180042616
4,0.01,0.44,0.03,0.26,1.1,0.1456347116757255,1.0,-0.01538467711991054,-0.17334318400742266,0.23329219210485735,0.1420556136832223,47.92893221678977,96.1205392224454,1.076996143302993,-0.3517982180042616
5,0.02,0.44,0.02,0.26,1.1,0.1456347116757255,1.0,-0.01538467711991054,-0.17334318400742266,0.23329219210485735,0.1420556136832223,47.92893221678977,96.1205392224454,1.076996143302993,-0.3517982180042616
6,0.02,0.44,0.03,0.26,1.1,0.1456347116757255,1.0,-0.01538467711991054,-0.17334318400742266,0.23329219210485735,0.1420556136832223,47.92893221678977,96.1205392224454,1.076996143302993,-0.3517982180042616
7,0.03,0.44,0.02,0.26,1.1,0.1456347116757255,1.0,-0.01538467711991054,-0.17334318400742266,0.23329219210485735,0.1420556136832223,47.92893221678977,96.1205392224454,1.076996143302993,-0.3517982180042616
8,0.03,0.44,0.03,0.26,1.1,0.1456347116757255,1.0,-0.01538467711991054,-0.17334318400742266,0.23329219210485735,0.1420556136832223,47.92893221678977,96.1205392224454,1.076996143302993,-0.3517982180042616
9,0.0,0.42,0.02,0.26,1.1,0.14293485454546095,1.0,-0.015384677119910428,-0.1724631929654581,0.23050948474477786,0.14371300368754167,47.40674724529399,95.59835425094963,1.0764118055399843,-0.35179821800426236
10,0.0,0.42,0.03,0.26,1.1,0.14293485454546095,1.0,-0.015384677119910428,-0.1724631929654581,0.23050948474477786,0.14371300368754167,47.40674724529399,95.59835425094963,1.0764118055399843,-0.35179821800426236
11,0.01,0.42,0.02,0.26,1.1,0.14293485454546095,1.0,-0.015384677119910428,-0.1724631929654581,0.23050948474477786,0.14371300368754167,47.40674724529399,95.59835425094963,1.0764118055399843,-0.35179821800426236
12,0.01,0.42,0.03,0.26,1.1,0.14293485454546095,1.0,-0.015384677119910428,-0.1724631929654581,0.23050948474477786,0.14371300368754167,47.40674724529399,95.59835425094963,1.0764118055399843,-0.35179821800426236
13,0.02,0.42,0.02,0.26,1.1,0.14293485454546095,1.0,-0.015384677119910428,-0.1724631929654581,0.23050948474477786,0.14371300368754167,47.40674724529399,95.59835425094963,1.0764118055399843,-0.35179821800426236
14,0.02,0.42,0.03,0.26,1.1,0.14293485454546095,1.0,-0.015384677119910428,-0.1724631929654581,0.23050948474477786,0.14371300368754167,47.40674724529399,95.59835425094963,1.0764118055399843,-0.35179821800426236
15,0.03,0.42,0.02,0.26,1.1,0.14293485454546095,1.0,-0.015384677119910428,-0.1724631929654581,0.23050948474477786,0.14371300368754167,47.40674724529399,95.59835425094963,1.0764118055399843,-0.35179821800426236
16,0.03,0.42,0.03,0.26,1.1,0.14293485454546095,1.0,-0.015384677119910428,-0.1724631929654581,0.23050948474477786,0.14371300368754167,47.40674724529399,95.59835425094963,1.0764118055399843,-0.35179821800426236
17,0.0,0.4,0.02,0.26,1.1,0.14023451088343264,1.0,-0.015384677119910317,-0.17158279364790374,0.22772719479493275,0.1450991646484635,46.88642962245424,95.07803662810987,1.0757952981061512,-0.35179821800426214
18,0.0,0.4,0.03,0.26,1.1,0.14023451088343264,1.0,-0.015384677119910317,-0.17158279364790374,0.22772719479493275,0.1450991646484635,46.88642962245424,95.07803662810987,1.0757952981061512,-0.35179821800426214
19,0.01,0.4,0.02,0.26,1.1,0.14023451088343264,1.0,-0.015384677119910317,-0.17158279364790374,0.22772719479493275,0.1450991646484635,46.88642962245424,95.07803662810987,1.0757952981061512,-0.35179821800426214
20,0.01,0.4,0.03,0.26,1.1,0.14023451088343264,1.0,-0.015384677119910317,-0.17158279364790374,0.22772719479493275,0.1450991646484635,46.88642962245424,95.07803662810987,1.0757952981061512,-0.35179821800426214
21,0.02,0.4,0.02,0.26,1.1,0.14023451088343264,1.0,-0.015384677119910317,-0.17158279364790374,0.22772719479493275,0.1450991646484635,46.88642962245424,95.07803662810987,1.0757952981061512,-0.35179821800426214
22,0.02,0.4,0.03,0.26,1.1,0.14023451088343264,1.0,-0.015384677119910317,-0.17158279364790374,0.22772719479493275,0.1450991646484635,46.88642962245424,95.07803662810987,1.0757952981061512,-0.35179821800426214
23,0.03,0.4,0.02,0.26,1.1,0.14023451088343264,1.0,-0.015384677119910317,-0.17158279364790374,0.22772719479493275,0.1450991646484635,46.88642962245424,95.07803662810987,1.0757952981061512,-0.35179821800426214
24,0.03,0.4,0.03,0.26,1.1,0.14023451088343264,1.0,-0.015384677119910317,-0.17158279364790374,0.22772719479493275,0.1450991646484635,46.88642962245424,95.07803662810987,1.0757952981061512,-0.35179821800426214
25,0.0,0.38,0.02,0.26,1.1,0.13753368548847722,1.0,-0.015384677119910206,-0.17070198604071252,0.224945325749739,0.14620860119092613,46.36797960234795,94.55958660800358,1.0751465553252766,-0.3517982180042626
26,0.0,0.38,0.03,0.26,1.1,0.13753368548847722,1.0,-0.015384677119910206,-0.17070198604071252,0.224945325749739,0.14620860119092613,46.36797960234795,94.55958660800358,1.0751465553252766,-0.3517982180042626
27,0.01,0.38,0.02,0.26,1.1,0.13753368548847722,1.0,-0.015384677119910206,-0.17070198604071252,0.224945325749739,0.14620860119092613,46.36797960234795,94.55958660800358,1.0751465553252766,-0.3517982180042626
28,0.01,0.38,0.03,0.26,1.1,0.13753368548847722,1.0,-0.015384677119910206,-0.17070198604071252,0.224945325749739,0.14620860119092613,46.36797960234795,94.55958660800358,1.0751465553252766,-0.3517982180042626
29,0.02,0.38,0.02,0.26,1.1,0.13753368548847722,1.0,-0.015384677119910206,-0.17070198604071252,0.224945325749739,0.14620860119092613,46.36797960234795,94.55958660800358,1.0751465553252766,-0.3517982180042626
30,0.02,0.38,0.03,0.26,1.1,0.13753368548847722,1.0,-0.015384677119910206,-0.17070198604071252,0.224945325749739,0.14620860119092613,46.36797960234795,94.55958660800358,1.0751465553252766,-0.3517982180042626
31,0.03,0.38,0.02,0.26,1.1,0.13753368548847722,1.0,-0.015384677119910206,-0.17070198604071252,0.224945325749739,0.14620860119092613,46.36797960234795,94.55958660800358,1.0751465553252766,-0.3517982180042626
32,0.03,0.38,0.03,0.26,1.1,0.13753368548847722,1.0,-0.015384677119910206,-0.17070198604071252,0.224945325749739,0.14620860119092613,46.36797960234795,94.55958660800358,1.0751465553252766,-0.3517982180042626
33,0.0,0.44,0.02,0.24,1.1,0.10263805795630776,1.0,-0.01086900686137332,-0.1666438571135439,0.17015016121894252,0.12703463452083322,32.57905789731432,80.77066490296995,1.0783801333546614,-0.3359718417411104
34,0.0,0.44,0.03,0.24,1.1,0.10263805795630776,1.0,-0.01086900686137332,-0.1666438571135439,0.17015016121894252,0.12703463452083322,32.57905789731432,80.77066490296995,1.0783801333546614,-0.3359718417411104
35,0.01,0.44,0.02,0.24,1.1,0.10263805795630776,1.0,-0.01086900686137332,-0.1666438571135439,0.17015016121894252,0.12703463452083322,32.57905789731432,80.77066490296995,1.0783801333546614,-0.3359718417411104
36,0.01,0.44,0.03,0.24,1.1,0.10263805795630776,1.0,-0.01086900686137332,-0.1666438571135439,0.17015016121894252,0.12703463452083322,32.57905789731432,80.77066490296995,1.0783801333546614,-0.3359718417411104
37,0.02,0.44,0.02,0.24,1.1,0.10263805795630776,1.0,-0.01086900686137332,-0.1666438571135439,0.17015016121894252,0.12703463452083322,32.57905789731432,80.77066490296995,1.0783801333546614,-0.3359718417411104
38,0.02,0.44,0.03,0.24,1.1,0.10263805795630776,1.0,-0.01086900686137332,-0.1666438571135439,0.17015016121894252,0.12703463452083322,32.57905789731432,80.77066490296995,1.0783801333546614,-0.3359718417411104
39,0.03,0.44,0.02,0.24,1.1,0.10263805795630776,1.0,-0.01086900686137332,-0.1666438571135439,0.17015016121894252,0.12703463452083322,32.57905789731432,80.77066490296995,1.0783801333546614,-0.3359718417411104
40,0.03,0.44,0.03,0.24,1.1,0.10263805795630776,1.0,-0.01086900686137332,-0.1666438571135439,0.17015016121894252,0.12703463452083322,32.57905789731432,80.77066490296995,1.0783801333546614,-0.3359718417411104
41,0.0,0.42,0.02,0.24,1.1,0.09999075247576039,1.0,-0.01086900686137321,-0.1657567402340523,0.16744712723249344,0.128953690598001,32.14023171701522,80.33183872267085,1.0778022033680863,-0.3359718417411105
42,0.0,0.42,0.03,0.24,1.1,0.09999075247576039,1.0,-0.01086900686137321,-0.1657567402340523,0.16744712723249344,0.128953690598001,32.14023171701522,80.33183872267085,1.0778022033680863,-0.3359718417411105
43,0.01,0.42,0.02,0.24,1.1,0.09999075247576039,1.0,-0.01086900686137321,-0.1657567402340523,0.16744712723249344,0.128953690598001,32.14023171701522,80.33183872267085,1.0778022033680863,-0.3359718417411105
44,0.01,0.42,0.03,0.24,1.1,0.09999075247576039,1.0,-0.01086900686137321,-0.1657567402340523,0.16744712723249344,0.128953690598001,32.14023171701522,80.33183872267085,1.0778022033680863,-0.3359718417411105
45,0.02,0.42,0.02,0.24,1.1,0.09999075247576039,1.0,-0.01086900686137321,-0.1657567402340523,0.16744712723249344,0.128953690598001,32.14023171701522,80.33183872267085,1.0778022033680863,-0.3359718417411105
46,0.02,0.42,0.03,0.24,1.1,0.09999075247576039,1.0,-0.01086900686137321,-0.1657567402340523,0.16744712723249344,0.128953690598001,32.14023171701522,80.33183872267085,1.0778022033680863,-0.3359718417411105
47,0.03,0.42,0.02,0.24,1.1,0.09999075247576039,1.0,-0.01086900686137321,-0.1657567402340523,0.16744712723249344,0.128953690598001,32.14023171701522,80.33183872267085,1.0778022033680863,-0.3359718417411105
48,0.03,0.42,0.03,0.24,1.1,0.09999075247576039,1.0,-0.01086900686137321,-0.1657567402340523,0.16744712723249344,0.128953690598001,32.14023171701522,80.33183872267085,1.0778022033680863,-0.3359718417411105
49,0.0,0.4,0.02,0.24,1.1,0.09734296643991103,1.0,-0.01086900686137332,-0.16486921178227976,0.16474449552326517,0.13058782414334008,31.702975015506304,79.89458202116194,1.0771893047711574,-0.33597184174111006
50,0.0,0.4,0.03,0.24,1.1,0.09734296643991103,1.0,-0.01086900686137332,-0.16486921178227976,0.16474449552326517,0.13058782414334008,31.702975015506304,79.89458202116194,1.0771893047711574,-0.33597184174111006
51,0.01,0.4,0.02,0.24,1.1,0.09734296643991103,1.0,-0.01086900686137332,-0.16486921178227976,0.16474449552326517,0.13058782414334008,31.702975015506304,79.89458202116194,1.0771893047711574,-0.33597184174111006
52,0.01,0.4,0.03,0.24,1.1,0.09734296643991103,1.0,-0.01086900686137332,-0.16486921178227976,0.16474449552326517,0.13058782414334008,31.702975015506304,79.89458202116194,1.0771893047711574,-0.33597184174111006
53,0.02,0.4,0.02,0.24,1.1,0.09734296643991103,1.0,-0.01086900686137332,-0.16486921178227976,0.16474449552326517,0.13058782414334008,31.702975015506304,79.89458202116194,1.0771893047711574,-0.33597184174111006
54,0.02,0.4,0.03,0.24,1.1,0.09734296643991103,1.0,-0.01086900686137332,-0.16486921178227976,0.16474449552326517,0.13058782414334008,31.702975015506304,79.89458202116194,1.0771893047711574,-0.33597184174111006
55,0.03,0.4,0.02,0.24,1.1,0.09734296643991103,1.0,-0.01086900686137332,-0.16486921178227976,0.16474449552326517,0.13058782414334008,31.702975015506304,79.89458202116194,1.0771893047711574,-0.33597184174111006
56,0.03,0.4,0.03,0.24,1.1,0.09734296643991103,1.0,-0.01086900686137332,-0.16486921178227976,0.16474449552326517,0.13058782414334008,31.702975015506304,79.89458202116194,1.0771893047711574,-0.33597184174111006
