timestamp,step,selected_symbol,rank,symbol,score,forecast_return,target_exposure,confidence,reason,eligible,is_fresh,is_new_bar,bar_age_minutes
2026-03-02 12:42:26,0,ETH-USD,1,ETH-USD,1.1182781755079143,0.00027512706101580375,0.1182417974045199,0.1182417974045199,ok,1,1,1,7.4364865
2026-03-02 12:42:26,0,ETH-USD,2,BTC-USD,1.1038173900931318,0.0001721958789958388,0.10379766133303583,0.10379766133303583,ok,1,1,1,7.424384283333334
2026-03-02 12:42:26,0,ETH-USD,3,QQQ,nan,0.00012061926621596275,0.1711694024194735,0.1711694024194735,stale_feed,0,0,1,3347.3063898666664
2026-03-02 12:42:32,1,BTC-USD,1,BTC-USD,1.1038173900931318,0.0001721958789958388,0.10379766133303583,0.10379766133303583,ok,1,1,1,7.535462283333334
2026-03-02 12:42:32,1,BTC-USD,2,QQQ,nan,0.00012061926621596275,0.1711694024194735,0.1711694024194735,stale_feed,0,0,1,3347.44449485
2026-03-02 12:42:32,1,BTC-USD,3,^SPX,nan,0.00015750660552495284,0.2768811185734965,0.2768811185734965,stale_feed,0,0,1,3347.4493594166665
2026-03-02 12:42:47,2,ETH-USD,1,ETH-USD,1.0635173130004112,0.00014768152545062662,0.06350733851330531,0.06350733851330531,ok,1,1,1,2.790441583333333
2026-03-02 12:42:47,2,ETH-USD,2,QQQ,nan,0.00012061926621596275,0.1711694024194735,0.1711694024194735,stale_feed,0,0,1,3347.5620159833334
2026-03-02 12:42:47,2,ETH-USD,3,^SPX,nan,0.00015750660552495284,0.2768811185734965,0.2768811185734965,stale_feed,0,0,1,3347.5689788333334
2026-03-02 12:43:00,3,BTC-USD,1,BTC-USD,1.070113352410406,0.00011629517168209118,0.07010462802955647,0.07010462802955647,ok,1,1,1,2.970465316666667
2026-03-02 12:43:00,3,BTC-USD,2,QQQ,nan,0.00012061926621596275,0.1711694024194735,0.1711694024194735,stale_feed,0,0,1,3347.8135279833336
2026-03-02 12:43:00,3,BTC-USD,3,^SPX,nan,0.00015750660552495284,0.2768811185734965,0.2768811185734965,stale_feed,0,0,1,3347.8299211
2026-03-02 12:43:11,4,QQQ,1,QQQ,nan,0.00012061926621596275,0.1711694024194735,0.1711694024194735,stale_feed,0,0,1,3348.0382342166663
2026-03-02 12:43:11,4,QQQ,2,^SPX,nan,0.00015750660552495284,0.2768811185734965,0.2768811185734965,stale_feed,0,0,1,3348.0508074833333
2026-03-02 12:43:11,4,QQQ,3,^VIX,nan,-0.001872545526225148,-0.24584376109062225,0.24584376109062225,stale_feed,0,0,1,3333.066355833333
2026-03-02 12:43:19,5,QQQ,1,QQQ,nan,0.00012061926621596275,0.1711694024194735,0.1711694024194735,stale_feed,0,0,1,3348.1949001166668
2026-03-02 12:43:19,5,QQQ,2,^SPX,nan,0.00015750660552495284,0.2768811185734965,0.2768811185734965,stale_feed,0,0,1,3348.1999249
2026-03-02 12:43:19,5,QQQ,3,^VIX,nan,-0.001872545526225148,-0.24584376109062225,0.24584376109062225,stale_feed,0,0,1,3333.2053749666666
2026-03-02 12:43:38,6,QQQ,1,QQQ,nan,0.00012061926621596275,0.1711694024194735,0.1711694024194735,stale_feed,0,0,1,3348.3296801499996
2026-03-02 12:43:38,6,QQQ,2,^SPX,nan,0.00015750660552495284,0.2768811185734965,0.2768811185734965,stale_feed,0,0,1,3348.33792745
2026-03-02 12:43:38,6,QQQ,3,^VIX,nan,-0.001872545526225148,-0.24584376109062225,0.24584376109062225,stale_feed,0,0,1,3333.378760983333
