regime_combo,rs_bin,feature_set,focus_action,against_action,version_count,labels,min_edge,mean_edge,max_edge,min_focus_n,mean_focus_n,min_against_n,mean_against_n,mean_focus_fwd10,mean_against_fwd10
mid|trend_off|dd_ok|vol_low,rs_q3,regime_combo|rs_bin,hold,de-risk,4,run1_tight_weak_v224_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol103_vf000|run1_tight_weak_v228_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol594_vf000|run1_tight_weak_v230_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol700_vf000|run1_tight_weak_v231_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol736_vf000,0.0127429813200932,0.012743005757117551,0.0127430212090658,70,70.0,420,420.0,0.015553850533338374,0.002810844776220775
mid|trend_off|dd_ok|vol_low,rs_q4,regime_combo|rs_bin,hold,de-risk,4,run1_tight_weak_v224_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol103_vf000|run1_tight_weak_v228_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol594_vf000|run1_tight_weak_v230_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol700_vf000|run1_tight_weak_v231_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol736_vf000,0.0010572176122535,0.0010572273363784498,0.0010572447249849,88,88.0,345,345.0,0.002601917247649075,0.001544689911270625
