run,scenario,terminal_wealth,delta_vs_full_wealth,sharpe,delta_vs_full_sharpe,maxdd,delta_vs_full_maxdd
v224_safe,baseline_no_overrides,1.0044040986949025,-0.41748764928077486,0.05728803886546214,-0.5697479413674336,-0.006880413084793147,0.024916954916834988
v224_safe,drop_group::de-risk,1.0410595815325145,-0.38083216644316287,0.20290461518066125,-0.4241313650522345,-0.010702483254982798,0.021094884746645337
v224_safe,drop::low|trend_off|dd_ok|vol_low::de-risk,1.1420344512294853,-0.2798572967461921,0.47532983471985824,-0.15170614551303752,-0.031797368001629134,-9.992007221626409e-16
v224_safe,drop::mid|trend_off|dd_ok|vol_low::de-risk,1.2961926219043436,-0.12569912607133382,0.4951414044068627,-0.13189457582603303,-0.028000352679848017,0.0037970153217801172
v224_safe,drop_group::hold,1.3719036415814314,-0.049988106394246,0.6021529989895427,-0.024882981243353086,-0.03331453204575152,-0.001517164044123387
v224_safe,drop::low|trend_off|dd_ok|vol_low::hold,1.3844892017406478,-0.03740254623502959,0.6207254590448902,-0.006310521188005569,-0.03179736800162891,-7.771561172376096e-16
v224_safe,drop::mid|trend_off|dd_ok|vol_low::hold,1.408965088340221,-0.012926659635456472,0.6096861233570658,-0.017349856875829905,-0.03331453204575208,-0.001517164044123942
v224_safe,full_overrides,1.4218917479756774,0.0,0.6270359802328958,0.0,-0.031797368001628135,0.0
v232_safe,baseline_no_overrides,1.0237646438090637,-0.40538128912344207,0.18150669513159423,-0.41325362925771403,-0.01213661865230442,0.03294080986778891
v232_safe,drop_group::de-risk,1.0665652246988957,-0.3625807082336101,0.21161188575079637,-0.3831484386385119,-0.0241567508706102,0.020920677649483133
v232_safe,drop::low|trend_off|dd_ok|vol_low::de-risk,1.1478653259705491,-0.28128060696195667,0.39271823509461823,-0.20204208929469003,-0.045077428520092666,6.661338147750939e-16
v232_safe,drop::mid|trend_off|dd_ok|vol_low::de-risk,1.3279414460656627,-0.10120448686684314,0.49477441099079184,-0.09998591339851642,-0.030342771253363043,0.014734657266730289
v232_safe,drop_group::hold,1.371903266069884,-0.057242666862621805,0.6021310142061531,0.007370689816844855,-0.03331454622083019,0.011762882299263144
v232_safe,drop::low|trend_off|dd_ok|vol_low::hold,1.3915548864939218,-0.03759104643858402,0.5841713027971313,-0.010589021592177006,-0.04507742852009222,1.1102230246251565e-15
v232_safe,drop::mid|trend_off|dd_ok|vol_low::hold,1.4089644550909965,-0.020181477841509254,0.6096636762564736,0.014903351867165293,-0.033314546220829855,0.011762882299263477
v232_safe,full_overrides,1.4291459329325058,0.0,0.5947603243893083,0.0,-0.04507742852009333,0.0
