run,scenario,overrides_kept,terminal_wealth,sharpe,maxdd
v224_safe,baseline_no_overrides,0,1.0044040986949025,0.05728803886546214,-0.006880413084793147
v224_safe,full_overrides,4,1.4218917479756774,0.6270359802328958,-0.031797368001628135
v224_safe,drop::low|trend_off|dd_ok|vol_low::de-risk,3,1.1420344512294853,0.47532983471985824,-0.031797368001629134
v224_safe,drop::low|trend_off|dd_ok|vol_low::hold,3,1.3844892017406478,0.6207254590448902,-0.03179736800162891
v224_safe,drop::mid|trend_off|dd_ok|vol_low::de-risk,3,1.2961926219043436,0.4951414044068627,-0.028000352679848017
v224_safe,drop::mid|trend_off|dd_ok|vol_low::hold,3,1.408965088340221,0.6096861233570658,-0.03331453204575208
v224_safe,drop_group::de-risk,2,1.0410595815325145,0.20290461518066125,-0.010702483254982798
v224_safe,drop_group::hold,2,1.3719036415814314,0.6021529989895427,-0.03331453204575152
v232_safe,baseline_no_overrides,0,1.0237646438090637,0.18150669513159423,-0.01213661865230442
v232_safe,full_overrides,4,1.4291459329325058,0.5947603243893083,-0.04507742852009333
v232_safe,drop::low|trend_off|dd_ok|vol_low::de-risk,3,1.1478653259705491,0.39271823509461823,-0.045077428520092666
v232_safe,drop::low|trend_off|dd_ok|vol_low::hold,3,1.3915548864939218,0.5841713027971313,-0.04507742852009222
v232_safe,drop::mid|trend_off|dd_ok|vol_low::de-risk,3,1.3279414460656627,0.49477441099079184,-0.030342771253363043
v232_safe,drop::mid|trend_off|dd_ok|vol_low::hold,3,1.4089644550909965,0.6096636762564736,-0.033314546220829855
v232_safe,drop_group::de-risk,2,1.0665652246988957,0.21161188575079637,-0.0241567508706102
v232_safe,drop_group::hold,2,1.371903266069884,0.6021310142061531,-0.03331454622083019
