timestamp,step,selected_symbol,rank,symbol,score,forecast_return,target_exposure,confidence,reason,eligible,is_fresh,is_new_bar,bar_age_minutes
2026-03-02 12:58:08,0,^VIX,1,^VIX,1.5289343589589282,-0.00535680803347474,-0.5246494138156406,0.5246494138156406,ok,1,1,1,3643.093058983334
2026-03-02 12:58:08,0,^VIX,2,^VVIX,1.235142500824524,-0.0024421049006420645,-0.23443576569373156,0.23443576569373156,ok,1,1,1,3658.0958295166665
2026-03-02 12:58:08,0,^VIX,3,QQQ,1.1426696954464282,0.00024155387486575675,0.14263032850824262,0.14263032850824262,ok,1,1,1,3658.08569995
2026-03-02 12:58:08,0,^VIX,4,^SPX,1.1185452660537132,0.00018428342611935013,0.11852083596396057,0.11852083596396057,ok,1,1,1,3658.08905135
2026-03-02 12:58:08,0,^VIX,5,M44U.SI,1.0161836787950473,-8.580043317139307e-05,-0.016182267881254795,0.016182267881254795,ok,1,1,1,4198.101318983334
2026-03-02 12:58:10,1,^VIX,1,AJBU.SI,1.305924352912832,-0.0007302969225809894,-0.3056329320001126,0.3056329320001126,ok,1,1,1,4198.147831883333
2026-03-02 12:58:10,1,^VIX,2,^VIX,1.2838522172254776,-0.002884911548816417,-0.2828056156511904,0.2828056156511904,ok,1,1,1,3638.144037116667
2026-03-02 12:58:10,1,^VIX,3,ME8U.SI,1.2527603253065007,-0.0008231467567787189,-0.2525000000000022,0.2525000000000022,ok,1,1,1,4193.147022516667
2026-03-02 12:58:10,1,^VIX,4,M44U.SI,1.2333796552497671,0.0012355262376680524,0.23302465749006757,0.23302465749006757,ok,1,1,1,4193.146292233333
2026-03-02 12:58:10,1,^VIX,5,A17U.SI,1.223312059830867,-0.0006578613661562511,-0.22313251588872143,0.22313251588872143,ok,1,1,1,4193.145625
2026-03-02 12:58:13,2,A17U.SI,1,A17U.SI,1.2347841922512914,-0.0006785140640416673,-0.2345876816444937,0.2345876816444937,ok,1,1,1,4188.18612995
2026-03-02 12:58:13,2,A17U.SI,2,^VIX,1.1141079043301174,-0.001152964899571621,-0.11396153685571857,0.11396153685571857,ok,1,1,1,3633.1843029
2026-03-02 12:58:13,2,A17U.SI,3,^VVIX,1.1112579434520167,-0.0011585903635243898,-0.11111490223620997,0.11111490223620997,ok,1,1,1,3648.1853697166666
2026-03-02 12:58:13,2,A17U.SI,4,^SPX,1.095830185577389,0.0001514050946705395,0.09581428884992273,0.09581428884992273,ok,1,1,1,3648.1821600499998
2026-03-02 12:58:13,2,A17U.SI,5,QQQ,1.0563738949624553,9.831112975300507e-05,0.056368040987201704,0.056368040987201704,ok,1,1,1,3648.1810523500003
2026-03-02 12:58:17,3,^VIX,1,^VIX,1.4807994046002986,-0.004594811912591715,-0.4775572220458737,0.4775572220458737,ok,1,1,1,3628.2315547499998
2026-03-02 12:58:17,3,^VIX,2,DCRU.SI,1.392944342556597,-0.0016532587881856187,-0.3920420945958941,0.3920420945958941,ok,1,1,1,4243.255780933333
2026-03-02 12:58:17,3,^VIX,3,AJBU.SI,1.3437545944284444,-0.0007423480269139932,-0.3434121166214561,0.3434121166214561,ok,1,1,1,4188.24828835
2026-03-02 12:58:17,3,^VIX,4,M44U.SI,1.2496182689210429,-0.0013213266708394461,-0.2492069253713225,0.2492069253713225,ok,1,1,1,4183.2468295
2026-03-02 12:58:17,3,^VIX,5,QQQ,1.192557088808922,0.0003343279466767738,0.19248035083751458,0.19248035083751458,ok,1,1,1,3643.2268789833333
2026-03-02 12:58:20,4,DCRU.SI,1,DCRU.SI,1.418296305067385,-0.0017595859246619422,-0.41725575962791767,0.41725575962791767,ok,1,1,1,4238.31626245
2026-03-02 12:58:20,4,DCRU.SI,2,^SPX,1.1131521135135638,0.00017848198784916328,0.11312963764226593,0.11312963764226593,ok,1,1,1,3638.2982452166666
2026-03-02 12:58:20,4,DCRU.SI,3,^VIX,1.108074128926472,-0.0010476705017062637,-0.10794882567522986,0.10794882567522986,ok,1,1,1,3623.3011909166667
2026-03-02 12:58:20,4,DCRU.SI,4,^VVIX,1.099389701397935,-0.0010348535942026026,-0.09927676509196601,0.09927676509196601,ok,1,1,1,3638.3034810333334
2026-03-02 12:58:20,4,DCRU.SI,5,QQQ,1.0323695600582994,5.620092758607937e-05,0.03236768208469419,0.03236768208469419,ok,1,1,1,3638.2953877333334
2026-03-02 12:58:23,5,DCRU.SI,1,DCRU.SI,1.3865469746752355,-0.0016264201714942938,-0.3856777748784283,0.3856777748784283,ok,1,1,1,4233.360186933333
2026-03-02 12:58:23,5,DCRU.SI,2,AJBU.SI,1.3378415381064295,-0.0007302969225809894,-0.3375118629997349,0.3375118629997349,ok,1,1,1,4178.359257883333
2026-03-02 12:58:23,5,DCRU.SI,3,M44U.SI,1.2455581658048889,0.0012998765625465967,0.24516135840100858,0.24516135840100858,ok,1,1,1,4173.35756045
2026-03-02 12:58:23,5,DCRU.SI,4,A17U.SI,1.2276309332082902,-0.000657861366156233,-0.22744727177916388,0.22744727177916388,ok,1,1,1,4173.356748233334
2026-03-02 12:58:23,5,DCRU.SI,5,QQQ,1.147501989639549,-0.00025522151669012415,-0.14745880541757975,0.14745880541757975,ok,1,1,1,3633.3517428
2026-03-02 12:58:25,6,^VVIX,1,^VVIX,1.390843866492564,-0.0015655554454300225,-0.38999519228317014,0.38999519228317014,ok,1,1,1,3628.3960049166662
2026-03-02 12:58:25,6,^VVIX,2,^SPX,1.35492087085485,0.00035475037845815254,0.35475037845815255,0.35475037845815255,ok,1,1,1,3628.3944304833335
2026-03-02 12:58:25,6,^VVIX,3,AJBU.SI,1.3202932062606754,0.0006941436095818813,0.3199999999999881,0.3199999999999881,ok,1,1,1,4173.3988008666665
