rank,stress_cap,derisk_cap,panic_cap,overall_scale,risk_on_scale,derisk_scale,panic_scale,min_median_terminal,min_pass_rate_terminal,avg_full_terminal,avg_full_sharpe,worst_fold_maxdd,worst_stress_maxdd,full_candidate_maxdd,fold_margin,stress_margin,full_margin,min_margin,wealth_dd_ratio
1,0.16,0.36,0.07,1.01,1.0,1.01,0.83,1.6544372589157041,1.0,26.384592039351645,1.032733618131125,-0.10964152555305307,-0.25201357116843515,-0.2692192866135935,0.11035847444694694,0.013986428831564868,0.0017807133864065072,0.0017807133864065072,98.00409313624348
2,0.16,0.36,0.07,1.01,1.0,1.01,0.85,1.6544372589157041,1.0,26.384592039351645,1.032733618131125,-0.10964152555305307,-0.25201357116843515,-0.2692192866135935,0.11035847444694694,0.013986428831564868,0.0017807133864065072,0.0017807133864065072,98.00409313624348
3,0.16,0.36,0.07,1.01,1.0,1.01,0.87,1.6544372589157041,1.0,26.384592039351645,1.032733618131125,-0.10964152555305307,-0.25201357116843515,-0.2692192866135935,0.11035847444694694,0.013986428831564868,0.0017807133864065072,0.0017807133864065072,98.00409313624348
4,0.16,0.36,0.08,1.01,1.0,1.01,0.83,1.6544372589157041,1.0,26.384592039351645,1.032733618131125,-0.10964152555305307,-0.25201357116843515,-0.2692192866135935,0.11035847444694694,0.013986428831564868,0.0017807133864065072,0.0017807133864065072,98.00409313624348
5,0.16,0.36,0.08,1.01,1.0,1.01,0.85,1.6544372589157041,1.0,26.384592039351645,1.032733618131125,-0.10964152555305307,-0.25201357116843515,-0.2692192866135935,0.11035847444694694,0.013986428831564868,0.0017807133864065072,0.0017807133864065072,98.00409313624348
6,0.16,0.36,0.08,1.01,1.0,1.01,0.87,1.6544372589157041,1.0,26.384592039351645,1.032733618131125,-0.10964152555305307,-0.25201357116843515,-0.2692192866135935,0.11035847444694694,0.013986428831564868,0.0017807133864065072,0.0017807133864065072,98.00409313624348
7,0.16,0.36,0.09,1.01,1.0,1.01,0.83,1.6544372589157041,1.0,26.384592039351645,1.032733618131125,-0.10964152555305307,-0.25201357116843515,-0.2692192866135935,0.11035847444694694,0.013986428831564868,0.0017807133864065072,0.0017807133864065072,98.00409313624348
8,0.16,0.36,0.09,1.01,1.0,1.01,0.85,1.6544372589157041,1.0,26.384592039351645,1.032733618131125,-0.10964152555305307,-0.25201357116843515,-0.2692192866135935,0.11035847444694694,0.013986428831564868,0.0017807133864065072,0.0017807133864065072,98.00409313624348
9,0.16,0.36,0.09,1.01,1.0,1.01,0.87,1.6544372589157041,1.0,26.384592039351645,1.032733618131125,-0.10964152555305307,-0.25201357116843515,-0.2692192866135935,0.11035847444694694,0.013986428831564868,0.0017807133864065072,0.0017807133864065072,98.00409313624348
10,0.16,0.36,0.07,1.01,1.02,1.01,0.83,1.6523937043909094,1.0,26.28057463804929,1.0291054918960678,-0.10965020758350275,-0.25187961701721795,-0.2692192866135935,0.11034979241649726,0.014120382982782065,0.0017807133864065072,0.0017807133864065072,97.6177263101117
11,0.16,0.36,0.07,1.01,1.02,1.01,0.85,1.6523937043909094,1.0,26.28057463804929,1.0291054918960678,-0.10965020758350275,-0.25187961701721795,-0.2692192866135935,0.11034979241649726,0.014120382982782065,0.0017807133864065072,0.0017807133864065072,97.6177263101117
12,0.16,0.36,0.07,1.01,1.02,1.01,0.87,1.6523937043909094,1.0,26.28057463804929,1.0291054918960678,-0.10965020758350275,-0.25187961701721795,-0.2692192866135935,0.11034979241649726,0.014120382982782065,0.0017807133864065072,0.0017807133864065072,97.6177263101117
13,0.16,0.36,0.08,1.01,1.02,1.01,0.83,1.6523937043909094,1.0,26.28057463804929,1.0291054918960678,-0.10965020758350275,-0.25187961701721795,-0.2692192866135935,0.11034979241649726,0.014120382982782065,0.0017807133864065072,0.0017807133864065072,97.6177263101117
14,0.16,0.36,0.08,1.01,1.02,1.01,0.85,1.6523937043909094,1.0,26.28057463804929,1.0291054918960678,-0.10965020758350275,-0.25187961701721795,-0.2692192866135935,0.11034979241649726,0.014120382982782065,0.0017807133864065072,0.0017807133864065072,97.6177263101117
15,0.16,0.36,0.08,1.01,1.02,1.01,0.87,1.6523937043909094,1.0,26.28057463804929,1.0291054918960678,-0.10965020758350275,-0.25187961701721795,-0.2692192866135935,0.11034979241649726,0.014120382982782065,0.0017807133864065072,0.0017807133864065072,97.6177263101117
16,0.16,0.36,0.09,1.01,1.02,1.01,0.83,1.6523937043909094,1.0,26.28057463804929,1.0291054918960678,-0.10965020758350275,-0.25187961701721795,-0.2692192866135935,0.11034979241649726,0.014120382982782065,0.0017807133864065072,0.0017807133864065072,97.6177263101117
17,0.16,0.36,0.09,1.01,1.02,1.01,0.85,1.6523937043909094,1.0,26.28057463804929,1.0291054918960678,-0.10965020758350275,-0.25187961701721795,-0.2692192866135935,0.11034979241649726,0.014120382982782065,0.0017807133864065072,0.0017807133864065072,97.6177263101117
18,0.16,0.36,0.09,1.01,1.02,1.01,0.87,1.6523937043909094,1.0,26.28057463804929,1.0291054918960678,-0.10965020758350275,-0.25187961701721795,-0.2692192866135935,0.11034979241649726,0.014120382982782065,0.0017807133864065072,0.0017807133864065072,97.6177263101117
19,0.15,0.36,0.07,1.01,1.0,1.01,0.83,1.6502429619000805,1.0,26.23576528691182,1.0362748921242804,-0.10323647091546106,-0.23764777381059043,-0.2692192866135935,0.11676352908453894,0.02835222618940958,0.0017807133864065072,0.0017807133864065072,97.45128447861772
20,0.15,0.36,0.07,1.01,1.0,1.01,0.85,1.6502429619000805,1.0,26.23576528691182,1.0362748921242804,-0.10323647091546106,-0.23764777381059043,-0.2692192866135935,0.11676352908453894,0.02835222618940958,0.0017807133864065072,0.0017807133864065072,97.45128447861772
21,0.15,0.36,0.07,1.01,1.0,1.01,0.87,1.6502429619000805,1.0,26.23576528691182,1.0362748921242804,-0.10323647091546106,-0.23764777381059043,-0.2692192866135935,0.11676352908453894,0.02835222618940958,0.0017807133864065072,0.0017807133864065072,97.45128447861772
22,0.15,0.36,0.08,1.01,1.0,1.01,0.83,1.6502429619000805,1.0,26.23576528691182,1.0362748921242804,-0.10323647091546106,-0.23764777381059043,-0.2692192866135935,0.11676352908453894,0.02835222618940958,0.0017807133864065072,0.0017807133864065072,97.45128447861772
23,0.15,0.36,0.08,1.01,1.0,1.01,0.85,1.6502429619000805,1.0,26.23576528691182,1.0362748921242804,-0.10323647091546106,-0.23764777381059043,-0.2692192866135935,0.11676352908453894,0.02835222618940958,0.0017807133864065072,0.0017807133864065072,97.45128447861772
