timestamp,step,selected_symbol,rank,symbol,score,forecast_return,target_exposure,confidence,reason,eligible,is_fresh,is_new_bar,bar_age_minutes
2026-03-02 13:02:15,0,^VVIX,1,^VVIX,1.394994408336153,0.0008576347764511739,0.3945225628833122,0.3945225628833122,ok,1,1,1,3442.217264866667
2026-03-02 13:02:15,0,^VVIX,2,QQQ,nan,-0.00016915196705526354,-0.16915196705526353,0.16915196705526353,low_confidence,0,1,1,3442.2082803666663
2026-03-02 13:02:15,0,^VVIX,3,^SPX,nan,-0.0001569050932202028,-0.1569050932202028,0.1569050932202028,low_confidence,0,1,1,3442.210951716667
2026-03-02 13:02:15,0,^VVIX,4,^VIX,nan,-0.00031174107956882043,-0.04933918696421996,0.04933918696421996,low_confidence,0,1,1,3427.214334266667
2026-03-02 13:02:15,0,^VVIX,5,A17U.SI,nan,-6.277465124905457e-05,-0.0190598174102458,0.0190598174102458,low_confidence,0,1,1,142.21950781666666
2026-03-02 13:02:17,1,^VVIX,1,^VVIX,1.6470837876881337,0.0014322798098879285,0.6455622583870955,0.6455622583870955,ok,1,1,1,3437.2632482
2026-03-02 13:02:17,1,^VVIX,2,QQQ,nan,-0.00015424225933423181,-0.1542422593342318,0.1542422593342318,low_confidence,0,1,1,3437.261041333333
2026-03-02 13:02:17,1,^VVIX,3,^SPX,nan,-0.00013167647395157493,-0.13167647395157492,0.13167647395157492,low_confidence,0,1,1,3437.26168895
2026-03-02 13:02:17,1,^VVIX,4,^VIX,nan,0.0007267904429721869,0.11414017565033344,0.11414017565033344,low_confidence,0,1,1,3422.262639066667
2026-03-02 13:02:17,1,^VVIX,5,A17U.SI,nan,-0.0006654113032399456,-0.23702320561497847,0.23702320561497847,low_confidence,0,1,1,137.26389181666667
2026-03-02 13:02:20,2,^VVIX,1,^VVIX,1.7473466069359254,0.0016902197637507091,0.7562326662392349,0.7562326662392349,ok,1,1,1,3432.3023214833333
2026-03-02 13:02:20,2,^VVIX,2,^VIX,1.4328804091928358,-0.0027775629248277195,-0.4311664557492631,0.4311664557492631,ok,1,1,1,3417.3017611500004
2026-03-02 13:02:20,2,^VVIX,3,QQQ,nan,-0.0001389611445942453,-0.1389611445942453,0.1389611445942453,low_confidence,0,1,1,3432.298878666667
2026-03-02 13:02:20,2,^VVIX,4,^SPX,nan,-7.234779316120339e-05,-0.07234779316120339,0.07234779316120339,low_confidence,0,1,1,3432.3008334833335
