profile,windows_used,avg_forward_return,median_forward_return,win_rate,avg_selected_count
aggressive,10,0.009185837646610464,0.007370101940642667,0.7,8.2
defensive,10,0.007642375839129188,0.005529182662662668,0.7,5.9
normal,10,0.006843114242008714,0.004653309917558595,0.7,7.1
