timestamp,step,mode,broker,symbol,execution_symbol,data_symbol,price,forecast_return,volatility,confidence,target_exposure,realized_exposure,action,executed_qty,fill_price,cash,units,wealth,wealth_ratio,wealth_gain_flag,interval_next_price,interval_simple_return,interval_model_ratio,interval_oracle_exposure,interval_oracle_ratio,interval_regret,interval_optimal_flag,bar_timestamp,bar_age_minutes,is_fresh_bar,is_new_bar,consecutive_stale_steps,data_points,wf_fast_window,wf_slow_window,wf_fast_weight,wf_vol_window
2026-03-02 11:39:50,0,paper,paper,SPY,BTC-USD,BTC-USD,66826.53125,0.0009133208233275093,0.001501601582079272,0.6082311275024307,0.6082311275024307,0.6083481200953694,BUY,9.101641460739902e-06,66847.66061632747,0.391576560580964,9.101641460739902e-06,0.9998076880833947,,,,,,,,,,2026-03-02 03:37:00+00:00,2.8070921500000003,1,1,0,17037,8,12,0.5,18
2026-03-02 11:39:52,1,paper,paper,SPY,BTC-USD,BTC-USD,66826.53125,0.0009133208233275093,0.001501601582079272,0.6082311275024307,0.6082311275024307,0.6083481200953694,STALE_BAR,0.0,,0.391576560580964,9.101641460739902e-06,0.9998076880833947,,,,,,,,,,2026-03-02 03:37:00+00:00,2.845667183333333,1,0,1,17037,8,12,0.5,18
