label,rerisk,hold,cap,derisk,terminal_wealth,max_drawdown,avg_daily_ret,vol_daily_ret,wealth_viable,error,is_valid
run1_tight_weak_v224_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol041_vf000,0.2,0.0,0.05,0.0,1.0,0.0,0.0,0.0,True,,True
run1_tight_weak_v224_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol041_vf000,0.2,0.0,0.05,-0.05,0.41127860510502645,-0.6120656046959837,-6.256533437517435e-05,0.0010121793735479738,True,,True
run1_tight_weak_v224_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol041_vf000,0.2,0.0,0.05,-0.41,0.00044446820726539885,-0.9997151242794051,-0.0005130357418764297,0.008299870863093384,False,,True
