rank,stress_cap,state_cap,override_scale,min_median_terminal,min_pass_rate_terminal,avg_full_terminal,avg_full_sharpe,worst_fold_maxdd,worst_stress_maxdd,full_candidate_maxdd
1,0.15,0.15,1.0,1.5912366085146155,1.0,14.566484644469185,0.9827268346343058,-0.1038278917023645,-0.23947136674659952,-0.23918810715492667
2,0.15,0.15,0.9,1.587405448449133,1.0,14.528335309246806,0.9859526674493096,-0.1031761998144799,-0.23947136674659952,-0.2391881071549259
3,0.1,0.15,1.0,1.5912366085146155,1.0,14.52515026999671,1.0081145975472126,-0.1038278917023645,-0.1662063695986673,-0.23547166734221914
4,0.1,0.15,0.9,1.587405448449133,1.0,14.487108900722601,1.0116810054573613,-0.1031761998144799,-0.1662063695986673,-0.23547166734221914
5,0.05,0.15,1.0,1.5912366085146155,1.0,14.462123855194577,1.0234613918733542,-0.1038278917023645,-0.08671367162544297,-0.23547166734221914
6,0.05,0.15,0.9,1.587405448449133,1.0,14.424247265460572,1.0272527453725757,-0.1031761998144799,-0.08671367162544297,-0.23547166734221914
7,0.0,0.15,1.0,1.5912366085146155,1.0,14.377590789679417,1.02710100134326,-0.1038278917023645,-0.0005519238240002666,-0.23547166734221914
8,0.0,0.15,0.9,1.587405448449133,1.0,14.339935308823636,1.0309636851315567,-0.1031761998144799,-0.0005519238240002666,-0.23547166734221914
9,0.15,0.15,0.8,1.558542871625642,1.0,13.20470965143543,0.9948689760272078,-0.09688496117862733,-0.23265202706571098,-0.23236622760467596
10,0.1,0.15,0.8,1.558542871625642,1.0,13.178799681329261,1.0184302430124543,-0.09688496117862733,-0.1662063695986673,-0.2230727695757765
11,0.05,0.15,0.8,1.558542871625642,1.0,13.121616020905241,1.0357250104997011,-0.09688496117862733,-0.08671367162544297,-0.2230727695757765
12,0.0,0.15,0.8,1.558542871625642,1.0,13.044919173334364,1.0399732748641488,-0.09688496117862733,-0.0005519238240002666,-0.2230727695757765
13,0.1,0.1,1.0,1.379883622515989,1.0,6.257931005548245,0.9593205581559966,-0.07658710822009418,-0.1662063695986673,-0.16584583004450815
14,0.15,0.1,1.0,1.379883622515989,1.0,6.257931005548245,0.9593205581559966,-0.07658710822009418,-0.1662063695986673,-0.16584583004450815
15,0.1,0.1,0.9,1.3765610228892826,1.0,6.241570505558941,0.9666172646523333,-0.07591564795692407,-0.1662063695986673,-0.1658458300445088
16,0.15,0.1,0.9,1.3765610228892826,1.0,6.241570505558941,0.9666172646523333,-0.07591564795692407,-0.1662063695986673,-0.1658458300445088
17,0.05,0.1,1.0,1.379883622515989,1.0,6.230777461416243,0.9897757087762792,-0.07658710822009418,-0.08671367162544297,-0.16305632442649642
18,0.1,0.1,0.8,1.3732389364973026,1.0,6.22483526791738,0.9731404817317211,-0.07525243180656827,-0.1662063695986673,-0.16584583004450815
19,0.15,0.1,0.8,1.3732389364973026,1.0,6.22483526791738,0.9731404817317211,-0.07525243180656827,-0.1662063695986673,-0.16584583004450815
20,0.05,0.1,0.9,1.3765610228892826,1.0,6.214487827250824,0.99797449822071,-0.07591564795692407,-0.08671367162544297,-0.16305632442649642
21,0.05,0.1,0.8,1.3732389364973026,1.0,6.197825082113726,1.0053345511766834,-0.07525243180656827,-0.08671367162544297,-0.16305632442649642
22,0.0,0.1,1.0,1.379883622515989,1.0,6.194358112901045,0.9983110214563079,-0.07658710822009418,-0.0005519238240002666,-0.16305632442649642
23,0.0,0.1,0.9,1.3765610228892826,1.0,6.178163570202346,1.00682426314046,-0.07591564795692407,-0.0005519238240002666,-0.16305632442649642
24,0.0,0.1,0.8,1.3732389364973026,1.0,6.161598098059812,1.01447704750616,-0.07525243180656827,-0.0005519238240002666,-0.16305632442649642
25,0.05,0.05,1.0,1.1958150602942514,1.0,2.650111671130308,0.8427641478716509,-0.04884132372381644,-0.08671367162544297,-0.08626402925655252
26,0.1,0.05,1.0,1.1958150602942514,1.0,2.650111671130308,0.8427641478716509,-0.04884132372381644,-0.08671367162544297,-0.08626402925655252
27,0.15,0.05,1.0,1.1958150602942514,1.0,2.650111671130308,0.8427641478716509,-0.04884132372381644,-0.08671367162544297,-0.08626402925655252
28,0.05,0.05,0.9,1.1929353221039958,1.0,2.6431955554456175,0.8624591425320641,-0.04814973019012214,-0.08671367162544297,-0.08626402925655197
29,0.1,0.05,0.9,1.1929353221039958,1.0,2.6431955554456175,0.8624591425320641,-0.04814973019012214,-0.08671367162544297,-0.08626402925655197
30,0.15,0.05,0.9,1.1929353221039958,1.0,2.6431955554456175,0.8624591425320641,-0.04814973019012214,-0.08671367162544297,-0.08626402925655197
31,0.05,0.05,0.8,1.19005603481954,1.0,2.6361206859481423,0.8812239943888903,-0.04746662853796246,-0.08671367162544297,-0.0862640292565523
32,0.1,0.05,0.8,1.19005603481954,1.0,2.6361206859481423,0.8812239943888903,-0.04746662853796246,-0.08671367162544297,-0.0862640292565523
33,0.15,0.05,0.8,1.19005603481954,1.0,2.6361206859481423,0.8812239943888903,-0.04746662853796246,-0.08671367162544297,-0.0862640292565523
34,0.0,0.05,1.0,1.1958150602942514,1.0,2.634621738929445,0.8643087753493202,-0.04884132372381644,-0.0005519238240002666,-0.084696455662986
35,0.0,0.05,0.9,1.1929353221039958,1.0,2.627745995906525,0.8860747733370476,-0.04814973019012214,-0.0005519238240002666,-0.084696455662986
36,0.0,0.05,0.8,1.19005603481954,1.0,2.6207124272716067,0.9069474180201809,-0.04746662853796246,-0.0005519238240002666,-0.084696455662986
