label,version,derisk,deployability_score,mean_multiple,median_multiple,p10_multiple,hit_rate_gt_1
run1_tight_weak_v224_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol103_vf000,v224,-1.03,0.9552443035321233,0.9210738629934663,0.9008369508263167,0.7405982080144785,0.26944390295299653
run1_tight_weak_v228_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol594_vf000,v228,-5.94,0.19459274460153395,0.8281793248161895,0.3888040969473933,0.04841303094039958,0.24415127528583994
run1_tight_weak_v230_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol700_vf000,v230,-7.0,0.0792757565417398,0.5972583492530458,0.42577307881481774,0.1181034125744675,0.17709129279918492
