rank,rerisk,hold,cap,derisk,override_scale,min_median_delta_terminal,min_pass_rate_terminal,worst_median_delta_maxdd,worst_fold_maxdd,avg_median_delta_terminal,avg_median_delta_sharpe,worst_stress_maxdd,full_delta_terminal,full_candidate_terminal,full_candidate_sharpe,full_candidate_maxdd
46,0.02,0.44,0.03,0.18,1.15,-0.014075597415347696,0.25,-0.002693068052968428,-0.14881100402309333,0.0004898471025746401,0.06017562485891297,-0.2904170421114901,1.4782849474863013,49.669891953141935,1.063288103493518,-0.2935831013352128
47,0.04,0.44,0.03,0.18,1.15,-0.014075597415347696,0.25,-0.002693068052968428,-0.14881100402309333,0.0004898471025746401,0.06017562485891297,-0.2904170421114901,1.4782849474863013,49.669891953141935,1.063288103493518,-0.2935831013352128
48,0.06,0.44,0.03,0.18,1.15,-0.014075597415347696,0.25,-0.002693068052968428,-0.14881100402309333,0.0004898471025746401,0.06017562485891297,-0.2904170421114901,1.4782849474863013,49.669891953141935,1.063288103493518,-0.2935831013352128
49,0.02,0.42,0.03,0.18,1.15,-0.01664779601741484,0.25,-0.0023819238807436527,-0.14790492134971833,-0.002210309111770571,0.06433740399248843,-0.29041704211149,1.2083716985111153,49.39997870416675,1.0627239449047121,-0.2935831013352137
50,0.04,0.42,0.03,0.18,1.15,-0.01664779601741484,0.25,-0.0023819238807436527,-0.14790492134971833,-0.002210309111770571,0.06433740399248843,-0.29041704211149,1.2083716985111153,49.39997870416675,1.0627239449047121,-0.2935831013352137
51,0.06,0.42,0.03,0.18,1.15,-0.01664779601741484,0.25,-0.0023819238807436527,-0.14790492134971833,-0.002210309111770571,0.06433740399248843,-0.29041704211149,1.2083716985111153,49.39997870416675,1.0627239449047121,-0.2935831013352137
52,0.02,0.4,0.03,0.18,1.15,-0.019218914761716666,0.25,-0.0020707503837540386,-0.14699841833365734,-0.004122672756251962,0.06715108518009358,-0.29041704211149033,0.939424217348737,49.13103122300437,1.062117266071754,-0.29358310133521437
53,0.04,0.4,0.03,0.18,1.15,-0.019218914761716666,0.25,-0.0020707503837540386,-0.14699841833365734,-0.004122672756251962,0.06715108518009358,-0.29041704211149033,0.939424217348737,49.13103122300437,1.062117266071754,-0.29358310133521437
54,0.06,0.4,0.03,0.18,1.15,-0.019218914761716666,0.25,-0.0020707503837540386,-0.14699841833365734,-0.004122672756251962,0.06715108518009358,-0.29041704211149033,0.939424217348737,49.13103122300437,1.062117266071754,-0.29358310133521437
55,0.02,0.44,0.03,0.18,1.1,-0.031111360884611416,0.0,-0.001534944751004963,-0.1463174523935028,-0.013028099551680074,0.05322663881102693,-0.2863618376622522,-0.7324140669517973,47.459192938703836,1.069003395494765,-0.2863618376622512
56,0.04,0.44,0.03,0.18,1.1,-0.031111360884611416,0.0,-0.001534944751004963,-0.1463174523935028,-0.013028099551680074,0.05322663881102693,-0.2863618376622522,-0.7324140669517973,47.459192938703836,1.069003395494765,-0.2863618376622512
57,0.06,0.44,0.03,0.18,1.1,-0.031111360884611416,0.0,-0.001534944751004963,-0.1463174523935028,-0.013028099551680074,0.05322663881102693,-0.2863618376622522,-0.7324140669517973,47.459192938703836,1.069003395494765,-0.2863618376622512
58,0.02,0.42,0.03,0.18,1.1,-0.03366028525066611,0.0,-0.0012234165539727893,-0.1454087153578918,-0.015252468374519669,0.057463075130756866,-0.28636183766225143,-0.9903140634297287,47.201292942225905,1.0684514630100992,-0.28636183766225154
59,0.04,0.42,0.03,0.18,1.1,-0.03366028525066611,0.0,-0.0012234165539727893,-0.1454087153578918,-0.015252468374519669,0.057463075130756866,-0.28636183766225143,-0.9903140634297287,47.201292942225905,1.0684514630100992,-0.28636183766225154
60,0.06,0.42,0.03,0.18,1.1,-0.03366028525066611,0.0,-0.0012234165539727893,-0.1454087153578918,-0.015252468374519669,0.057463075130756866,-0.28636183766225143,-0.9903140634297287,47.201292942225905,1.0684514630100992,-0.28636183766225154
61,0.02,0.4,0.03,0.18,1.1,-0.036208141969175545,0.0,-0.0009118589959818402,-0.14449955674820403,-0.017742033782004896,0.05982502675916865,-0.28636183766225154,-1.247291276324404,46.94431572933123,1.0678552813615794,-0.286361837662251
62,0.04,0.4,0.03,0.18,1.1,-0.036208141969175545,0.0,-0.0009118589959818402,-0.14449955674820403,-0.017742033782004896,0.05982502675916865,-0.28636183766225154,-1.247291276324404,46.94431572933123,1.0678552813615794,-0.286361837662251
63,0.06,0.4,0.03,0.18,1.1,-0.036208141969175545,0.0,-0.0009118589959818402,-0.14449955674820403,-0.017742033782004896,0.05982502675916865,-0.28636183766225154,-1.247291276324404,46.94431572933123,1.0678552813615794,-0.286361837662251
64,0.02,0.44,0.03,0.18,1.05,-0.04955002370690065,0.0,-0.00037577757316170635,-0.1438180651843871,-0.02565325291889151,0.04546821320082788,-0.282295842431286,-2.853538132169369,45.338068873486264,1.0744027024880025,-0.2822958424312868
65,0.04,0.44,0.03,0.18,1.05,-0.04955002370690065,0.0,-0.00037577757316170635,-0.1438180651843871,-0.02565325291889151,0.04546821320082788,-0.282295842431286,-2.853538132169369,45.338068873486264,1.0744027024880025,-0.2822958424312868
66,0.06,0.44,0.03,0.18,1.05,-0.04955002370690065,0.0,-0.00037577757316170635,-0.1438180651843871,-0.02565325291889151,0.04546821320082788,-0.282295842431286,-2.853538132169369,45.338068873486264,1.0744027024880025,-0.2822958424312868
67,0.02,0.42,0.03,0.18,1.05,-0.05212287393853099,0.0,-6.386500518062999e-05,-0.14290666757462056,-0.028652171636780514,0.04955645582487524,-0.2822958424312858,-3.0999116391498163,45.09169536650582,1.073863752775907,-0.2822958424312867
68,0.04,0.42,0.03,0.18,1.05,-0.05212287393853099,0.0,-6.386500518062999e-05,-0.14290666757462056,-0.028652171636780514,0.04955645582487524,-0.2822958424312858,-3.0999116391498163,45.09169536650582,1.073863752775907,-0.2822958424312867
69,0.06,0.42,0.03,0.18,1.05,-0.05212287393853099,0.0,-6.386500518062999e-05,-0.14290666757462056,-0.028652171636780514,0.04955645582487524,-0.2822958424312858,-3.0999116391498163,45.09169536650582,1.073863752775907,-0.2822958424312867
70,0.02,0.44,0.03,0.16,1.2,-0.05232402460315977,0.0,-0.001577678632094237,-0.1445192534728933,-0.04027655289984858,0.035335085903089154,-0.2774699970535063,-5.0316311980659165,43.15997580758972,1.0446886641772684,-0.29588695578184476
71,0.04,0.44,0.03,0.16,1.2,-0.05232402460315977,0.0,-0.001577678632094237,-0.1445192534728933,-0.04027655289984858,0.035335085903089154,-0.2774699970535063,-5.0316311980659165,43.15997580758972,1.0446886641772684,-0.29588695578184476
72,0.06,0.44,0.03,0.16,1.2,-0.05232402460315977,0.0,-0.001577678632094237,-0.1445192534728933,-0.04027655289984858,0.035335085903089154,-0.2774699970535063,-5.0316311980659165,43.15997580758972,1.0446886641772684,-0.29588695578184476
73,0.02,0.42,0.03,0.16,1.2,-0.053951192800685166,0.0,-0.0014126324088126752,-0.14360860811309029,-0.04203406389045777,0.0403174189610472,-0.2774699970535065,-5.266185222805092,42.92542178285054,1.044113595952843,-0.29588695578184443
74,0.04,0.42,0.03,0.16,1.2,-0.053951192800685166,0.0,-0.0014126324088126752,-0.14360860811309029,-0.04203406389045777,0.0403174189610472,-0.2774699970535065,-5.266185222805092,42.92542178285054,1.044113595952843,-0.29588695578184443
75,0.06,0.42,0.03,0.16,1.2,-0.053951192800685166,0.0,-0.0014126324088126752,-0.14360860811309029,-0.04203406389045777,0.0403174189610472,-0.2774699970535065,-5.266185222805092,42.92542178285054,1.044113595952843,-0.29588695578184443
76,0.02,0.4,0.03,0.18,1.05,-0.054695993859161796,0.0,0.0002480769599851329,-0.14199484715650446,-0.03135194201607643,0.05194801468832691,-0.2822958424312859,-3.3454036051040887,44.846203400551545,1.073278786312047,-0.282295842431287
77,0.04,0.4,0.03,0.18,1.05,-0.054695993859161796,0.0,0.0002480769599851329,-0.14199484715650446,-0.03135194201607643,0.05194801468832691,-0.2822958424312859,-3.3454036051040887,44.846203400551545,1.073278786312047,-0.282295842431287
78,0.06,0.4,0.03,0.18,1.05,-0.054695993859161796,0.0,0.0002480769599851329,-0.14199484715650446,-0.03135194201607643,0.05194801468832691,-0.2822958424312859,-3.3454036051040887,44.846203400551545,1.073278786312047,-0.282295842431287
79,0.02,0.4,0.03,0.16,1.2,-0.0555807204855443,0.0,-0.00124755290986317,-0.14269754030349346,-0.04405199553286521,0.04501033650243554,-0.27746999705350595,-5.499899877875478,42.691707127780155,1.043495119196587,-0.2958869557818441
80,0.04,0.4,0.03,0.16,1.2,-0.0555807204855443,0.0,-0.00124755290986317,-0.14269754030349346,-0.04405199553286521,0.04501033650243554,-0.27746999705350595,-5.499899877875478,42.691707127780155,1.043495119196587,-0.2958869557818441
81,0.06,0.4,0.03,0.16,1.2,-0.0555807204855443,0.0,-0.00124755290986317,-0.14269754030349346,-0.04405199553286521,0.04501033650243554,-0.27746999705350595,-5.499899877875478,42.691707127780155,1.043495119196587,-0.2958869557818441
82,0.02,0.44,0.03,0.16,1.15,-0.06080573816537238,0.0,-0.00017211880258705126,-0.14201184432139768,-0.05400370358619486,0.029628008956501528,-0.27332990644703015,-6.944912242618756,41.24669476303688,1.0513893993093597,-0.28737441689296284
83,0.04,0.44,0.03,0.16,1.15,-0.06080573816537238,0.0,-0.00017211880258705126,-0.14201184432139768,-0.05400370358619486,0.029628008956501528,-0.27332990644703015,-6.944912242618756,41.24669476303688,1.0513893993093597,-0.28737441689296284
84,0.06,0.44,0.03,0.16,1.15,-0.06080573816537238,0.0,-0.00017211880258705126,-0.14201184432139768,-0.05400370358619486,0.029628008956501528,-0.27332990644703015,-6.944912242618756,41.24669476303688,1.0513893993093597,-0.28737441689296284
85,0.02,0.42,0.03,0.16,1.15,-0.06242515231069534,0.0,-6.7917099857983665e-06,-0.14109852986527927,-0.0560092559977479,0.03469064181052509,-0.2733299064470306,-7.169068491152828,41.022538514502806,1.0508284643087662,-0.28737441689296284
86,0.04,0.42,0.03,0.16,1.15,-0.06242515231069534,0.0,-6.7917099857983665e-06,-0.14109852986527927,-0.0560092559977479,0.03469064181052509,-0.2733299064470306,-7.169068491152828,41.022538514502806,1.0508284643087662,-0.28737441689296284
87,0.06,0.42,0.03,0.16,1.15,-0.06242515231069534,0.0,-6.7917099857983665e-06,-0.14109852986527927,-0.0560092559977479,0.03469064181052509,-0.2733299064470306,-7.169068491152828,41.022538514502806,1.0508284643087662,-0.28737441689296284
88,0.02,0.4,0.03,0.16,1.15,-0.06404691416671593,0.0,0.00015856871491115587,-0.1401847917211686,-0.0580157811439344,0.03946313941866512,-0.2733299064470306,-7.392422579262835,40.7991844263928,1.0502221812997963,-0.2873744168929606
89,0.04,0.4,0.03,0.16,1.15,-0.06404691416671593,0.0,0.00015856871491115587,-0.1401847917211686,-0.0580157811439344,0.03946313941866512,-0.2733299064470306,-7.392422579262835,40.7991844263928,1.0502221812997963,-0.2873744168929606
90,0.06,0.4,0.03,0.16,1.15,-0.06404691416671593,0.0,0.00015856871491115587,-0.1401847917211686,-0.0580157811439344,0.03946313941866512,-0.2733299064470306,-7.392422579262835,40.7991844263928,1.0502221812997963,-0.2873744168929606
91,0.02,0.44,0.03,0.16,1.1,-0.07261986661539921,0.0,0.0012352372617948082,-0.13949856428136642,-0.0693053644437401,0.023258216216363616,-0.2691786979543451,-8.7810373682061,39.410569637449534,1.057864494241255,-0.2787755427989089
92,0.04,0.44,0.03,0.16,1.1,-0.07261986661539921,0.0,0.0012352372617948082,-0.13949856428136642,-0.0693053644437401,0.023258216216363616,-0.2691786979543451,-8.7810373682061,39.410569637449534,1.057864494241255,-0.2787755427989089
93,0.06,0.44,0.03,0.16,1.1,-0.07261986661539921,0.0,0.0012352372617948082,-0.13949856428136642,-0.0693053644437401,0.023258216216363616,-0.2691786979543451,-8.7810373682061,39.410569637449534,1.057864494241255,-0.2787755427989089
94,0.02,0.42,0.03,0.16,1.1,-0.07555302444951328,0.0,0.0014008456101542999,-0.13858257447946565,-0.07170586558683717,0.02839680100385676,-0.26917869795434446,-8.995215146407695,39.19639185924794,1.0573188370018356,-0.2787755427989096
95,0.04,0.42,0.03,0.16,1.1,-0.07555302444951328,0.0,0.0014008456101542999,-0.13858257447946565,-0.07170586558683717,0.02839680100385676,-0.26917869795434446,-8.995215146407695,39.19639185924794,1.0573188370018356,-0.2787755427989096
96,0.06,0.42,0.03,0.16,1.1,-0.07555302444951328,0.0,0.0014008456101542999,-0.13858257447946565,-0.07170586558683717,0.02839680100385676,-0.26917869795434446,-8.995215146407695,39.19639185924794,1.0573188370018356,-0.2787755427989096
97,0.02,0.4,0.03,0.16,1.1,-0.07848414454351216,0.0,0.001566487347515022,-0.13766615974847718,-0.07410602229238702,0.033242843903593396,-0.2691786979543451,-9.208626472910474,38.98298053274516,1.0567258283223901,-0.2787755427989076
98,0.04,0.4,0.03,0.16,1.1,-0.07848414454351216,0.0,0.001566487347515022,-0.13766615974847718,-0.07410602229238702,0.033242843903593396,-0.2691786979543451,-9.208626472910474,38.98298053274516,1.0567258283223901,-0.2787755427989076
99,0.06,0.4,0.03,0.16,1.1,-0.07848414454351216,0.0,0.001566487347515022,-0.13766615974847718,-0.07410602229238702,0.033242843903593396,-0.2691786979543451,-9.208626472910474,38.98298053274516,1.0567258283223901,-0.2787755427989076
100,0.02,0.44,0.03,0.16,1.05,-0.09306188811796978,0.0,0.0026443913824073517,-0.13697940307166345,-0.08562371911688049,0.016199535254320212,-0.2650164572376127,-10.542749003321674,37.64885800233396,1.0640613105824748,-0.2700896908074285
101,0.04,0.44,0.03,0.16,1.05,-0.09306188811796978,0.0,0.0026443913824073517,-0.13697940307166345,-0.08562371911688049,0.016199535254320212,-0.2650164572376127,-10.542749003321674,37.64885800233396,1.0640613105824748,-0.2700896908074285
102,0.06,0.44,0.03,0.16,1.05,-0.09306188811796978,0.0,0.0026443913824073517,-0.13697940307166345,-0.08562371911688049,0.016199535254320212,-0.2650164572376127,-10.542749003321674,37.64885800233396,1.0640613105824748,-0.2700896908074285
103,0.02,0.42,0.03,0.16,1.05,-0.09557965835889326,0.0,0.0028102813733605347,-0.1360607316635719,-0.08799936976070542,0.021409224483511013,-0.2650164572376126,-10.74735271326464,37.444254292390994,1.0635320342070929,-0.2700896908074285
104,0.04,0.42,0.03,0.16,1.05,-0.09557965835889326,0.0,0.0028102813733605347,-0.1360607316635719,-0.08799936976070542,0.021409224483511013,-0.2650164572376126,-10.74735271326464,37.444254292390994,1.0635320342070929,-0.2700896908074285
105,0.06,0.42,0.03,0.16,1.05,-0.09557965835889326,0.0,0.0028102813733605347,-0.1360607316635719,-0.08799936976070542,0.021409224483511013,-0.2650164572376126,-10.74735271326464,37.444254292390994,1.0635320342070929,-0.2700896908074285
106,0.02,0.4,0.03,0.16,1.05,-0.09809769657910716,0.0,0.0029762048100976934,-0.135141634082391,-0.09037468887406166,0.02632414591494287,-0.2650164572376138,-10.951224233050034,37.2403827726056,1.062953344212563,-0.2700896908074284
107,0.04,0.4,0.03,0.16,1.05,-0.09809769657910716,0.0,0.0029762048100976934,-0.135141634082391,-0.09037468887406166,0.02632414591494287,-0.2650164572376138,-10.951224233050034,37.2403827726056,1.062953344212563,-0.2700896908074284
108,0.06,0.4,0.03,0.16,1.05,-0.09809769657910716,0.0,0.0029762048100976934,-0.135141634082391,-0.09037468887406166,0.02632414591494287,-0.2650164572376138,-10.951224233050034,37.2403827726056,1.062953344212563,-0.2700896908074284
